# Table S2 from Weber 2011
#
#depth (km) vp (km/s) vs (km/s) ρ (g/cm3)
0.0      1.0      0.5      2.6
1.0      1.0      0.5      2.6
1.0      3.2      1.8      2.7
15.0      3.2      1.8      2.7
15.0      5.5      3.2      2.8
40.0      5.5      3.2      2.8
40.0      7.7      4.4      3.3
238.0      7.7      4.4      3.3
238.0      7.8      4.4      3.4
488.0      7.8      4.4      3.4
488.0      7.6      4.4      3.4
738.0      7.6      4.4      3.4
738.0      8.5      4.5      3.4
1257.1      8.5      4.5      3.4
1257.1      7.5      3.2      3.4
1407.1      7.5      3.2      3.4
1407.1      4.1      0.0      5.1
1497.1      4.1      0.0      5.1
1497.1      4.3      2.3      8.0
1737.1      4.3      2.3      8.0
