# From the ERRATUM to Garcia 2011
#Radius (km) Vp(km/s) Vs(km/s) Density(kg/cm3) Qp Qs Radius (km) Density(kg/cm) Gravity (m/s2) Pressure (GPa)
1737.1   1.00   0.50   2.600   6750.0   6750.0   1737.1   2.600   1.6248   0.0000
1736.1   1.00   0.50   2.600   6750.0   6750.0   1736.1   2.600   1.6245   0.0042
1736.1   3.20   1.80   2.762   6750.0   6750.0   1736.1   2.762   1.6245   0.0042
1725.1   3.20   1.80   2.762   6750.0   6750.0   1725.1   2.762   1.6196   0.0535
1725.1   5.50   3.30   2.762   6750.0   6750.0   1725.1   2.762   1.6196   0.0535
1709.1   5.50   3.30   2.762   6750.0   6750.0   1709.1   2.762   1.6127   0.1249
1709.1   7.54   4.34   3.312   6750.0   6750.0   1697.1   2.762   1.6076   0.1783
1697.1   7.55   4.34   3.314   6750.0   6750.0   1697.1   3.314   1.6076   0.1783
1671.7   7.57   4.35   3.318   9000.0   4000.0   1671.7   3.318   1.5851   0.3127
1647.1   7.59   4.36   3.322   9000.0   4000.0   1647.1   3.322   1.5632   0.4413
1627.1   7.61   4.37   3.325   9000.0   4000.0   1627.1   3.325   1.5454   0.5446
1607.1   7.63   4.38   3.329   9000.0   4000.0   1607.1   3.329   1.5276   0.6469
1587.1   7.64   4.39   3.332   9000.0   4000.0   1587.1   3.332   1.5098   0.7480
1567.1   7.66   4.40   3.335   9000.0   4000.0   1567.1   3.335   1.4920   0.8481
1547.1   7.68   4.40   3.338   9000.0   4000.0   1547.1   3.338   1.4741   0.9470
1527.1   7.69   4.41   3.341   9000.0   4000.0   1527.1   3.341   1.4562   1.0449
1502.0   7.71   4.42   3.344   9000.0   4000.0   1502.0   3.344   1.4338   1.1661
1487.1   7.72   4.43   3.346   9000.0   4000.0   1487.1   3.346   1.4204   1.2373
1461.7   7.74   4.44   3.350   3375.0   1500.0   1461.7   3.350   1.3976   1.3571
1447.1   7.75   4.44   3.352   3375.0   1500.0   1447.1   3.352   1.3845   1.4251
1427.1   7.77   4.45   3.355   3375.0   1500.0   1427.1   3.355   1.3666   1.5174
1407.1   7.78   4.45   3.357   3375.0   1500.0   1407.1   3.357   1.3486   1.6085
1387.1   7.80   4.46   3.360   3375.0   1500.0   1387.1   3.360   1.3306   1.6985
1367.1   7.81   4.47   3.363   3375.0   1500.0   1367.1   3.363   1.3126   1.7874
1347.1   7.82   4.47   3.365   3375.0   1500.0   1347.1   3.365   1.2946   1.8751
1327.1   7.84   4.48   3.368   3375.0   1500.0   1327.1   3.368   1.2766   1.9616
1307.1   7.85   4.49   3.370   3375.0   1500.0   1307.1   3.370   1.2586   2.0470
1287.1   7.86   4.49   3.373   3375.0   1500.0   1287.1   3.373   1.2405   2.1313
1267.1   7.88   4.50   3.375   3375.0   1500.0   1267.1   3.375   1.2225   2.2144
1252.0   7.88   4.50   3.377   3375.0   1500.0   1252.0   3.377   1.2089   2.2764
1231.7   7.90   4.51   3.379   1125.0   500.0   1231.7   3.379   1.1906   2.3586
1207.1   7.91   4.51   3.382   1125.0   500.0   1207.1   3.382   1.1685   2.4567
1187.1   7.92   4.52   3.384   1125.0   500.0   1187.1   3.384   1.1505   2.5352
1167.1   7.94   4.53   3.386   1125.0   500.0   1167.1   3.386   1.1325   2.6125
1147.1   7.95   4.53   3.388   1125.0   500.0   1147.1   3.388   1.1145   2.6886
1127.1   7.96   4.54   3.391   1125.0   500.0   1127.1   3.391   1.0965   2.7635
1107.1   7.97   4.54   3.393   1125.0   500.0   1107.1   3.393   1.0786   2.8373
1087.1   7.98   4.54   3.395   1125.0   500.0   1087.1   3.395   1.0606   2.9099
1067.1   7.99   4.55   3.397   1125.0   500.0   1067.1   3.397   1.0427   2.9813
1047.1   8.00   4.55   3.398   1125.0   500.0   1047.1   3.398   1.0249   3.0515
1027.1   8.01   4.56   3.400   1125.0   500.0   1027.1   3.400   1.0070   3.1206
1002.0   8.02   4.56   3.403   1125.0   500.0   1002.0   3.403   0.9847   3.2056
